2026-04-23T20:43:13+0800 [INFO] 开始质量评分
2026-04-23T20:43:13+0800 [DEBUG] [1/20] 2026-04-23-autogpt.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [DEBUG] [2/20] 2026-04-23-claude-code.json: 等级 B, 分数 78/100
2026-04-23T20:43:13+0800 [DEBUG] [3/20] 2026-04-23-comfyui.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [DEBUG] [4/20] 2026-04-23-dify.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [DEBUG] [5/20] 2026-04-23-everything-claude-code.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [DEBUG] [6/20] 2026-04-23-firecrawl.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [DEBUG] [7/20] 2026-04-23-generative-ai-for-beginners.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [DEBUG] [8/20] 2026-04-23-hermes-agent.json: 等级 A, 分数 82/100
2026-04-23T20:43:13+0800 [DEBUG] [9/20] 2026-04-23-javaguide.json: 等级 B, 分数 76/100
2026-04-23T20:43:13+0800 [DEBUG] [10/20] 2026-04-23-langchain.json: 等级 A, 分数 94/100
2026-04-23T20:43:13+0800 [DEBUG] [11/20] 2026-04-23-langflow.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [DEBUG] [12/20] 2026-04-23-n8n.json: 等级 B, 分数 80/100
2026-04-23T20:43:13+0800 [DEBUG] [13/20] 2026-04-23-ollama.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [DEBUG] [14/20] 2026-04-23-open-webui.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [DEBUG] [15/20] 2026-04-23-openclaw.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [DEBUG] [16/20] 2026-04-23-opencode.json: 等级 A, 分数 85/100
2026-04-23T20:43:13+0800 [DEBUG] [17/20] 2026-04-23-prompts-chat.json: 等级 A, 分数 90/100
2026-04-23T20:43:13+0800 [DEBUG] [18/20] 2026-04-23-skills.json: 等级 A, 分数 82/100
2026-04-23T20:43:13+0800 [DEBUG] [19/20] 2026-04-23-system-prompts-and-models-of-ai-tools.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [DEBUG] [20/20] 2026-04-23-transformers.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-autogpt.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-claude-code.json: 等级 B, 分数 78/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-comfyui.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-dify.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-everything-claude-code.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-firecrawl.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-generative-ai-for-beginners.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-hermes-agent.json: 等级 A, 分数 82/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-javaguide.json: 等级 B, 分数 76/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-langchain.json: 等级 A, 分数 94/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-langflow.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-n8n.json: 等级 B, 分数 80/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-ollama.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-open-webui.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-openclaw.json: 等级 A, 分数 88/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-opencode.json: 等级 A, 分数 85/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-prompts-chat.json: 等级 A, 分数 90/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-skills.json: 等级 A, 分数 82/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-system-prompts-and-models-of-ai-tools.json: 等级 A, 分数 84/100
2026-04-23T20:43:13+0800 [INFO] knowledge/articles/2026-04-23-transformers.json: 等级 A, 分数 86/100
2026-04-23T20:43:13+0800 [INFO] 汇总: A=17, B=3, C=0, 共 20 个文件
2026-04-23T20:43:13+0800 [INFO] 质量检查通过
