2026-04-27T10:39:35+0800 [INFO] 开始质量评分
2026-04-27T10:39:35+0800 [DEBUG] [1/271] 2026-04-21-ai-agents-for-beginners.json: 等级 B, 分数 79/100
2026-04-27T10:39:35+0800 [DEBUG] [2/271] 2026-04-21-autogpt.json: 等级 A, 分数 95/100
2026-04-27T10:39:35+0800 [DEBUG] [3/271] 2026-04-21-claude-code.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [4/271] 2026-04-21-claude-context.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [5/271] 2026-04-21-comfyui.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [6/271] 2026-04-21-dify.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [7/271] 2026-04-21-everything-claude-code.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [8/271] 2026-04-21-finceptterminal.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [9/271] 2026-04-21-firecrawl.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [10/271] 2026-04-21-generative-ai-for-beginners.json: 等级 A, 分数 91/100
2026-04-27T10:39:35+0800 [DEBUG] [11/271] 2026-04-21-javaguide.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [12/271] 2026-04-21-langchain.json: 等级 A, 分数 94/100
2026-04-27T10:39:35+0800 [DEBUG] [13/271] 2026-04-21-langflow.json: 等级 A, 分数 94/100
2026-04-27T10:39:35+0800 [DEBUG] [14/271] 2026-04-21-n8n.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [15/271] 2026-04-21-ollama.json: 等级 A, 分数 91/100
2026-04-27T10:39:35+0800 [DEBUG] [16/271] 2026-04-21-open-webui.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [17/271] 2026-04-21-openclaw.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [18/271] 2026-04-21-opencode.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [19/271] 2026-04-21-prompts-chat.json: 等级 A, 分数 93/100
2026-04-27T10:39:35+0800 [DEBUG] [20/271] 2026-04-21-skills.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [21/271] 2026-04-21-superpowers.json: 等级 A, 分数 87/100
2026-04-27T10:39:35+0800 [DEBUG] [22/271] 2026-04-21-system-prompts-and-models-of-ai-tools.json: 等级 A, 分数 85/100
2026-04-27T10:39:35+0800 [DEBUG] [23/271] 2026-04-21-thunderbolt.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [24/271] 2026-04-21-transformers.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [25/271] 2026-04-21-trendradar.json: 等级 B, 分数 79/100
2026-04-27T10:39:35+0800 [DEBUG] [26/271] 2026-04-22-ai-agents-for-beginners.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [27/271] 2026-04-22-ai-guide.json: 等级 B, 分数 76/100
